permno,ticker,comnam
10202,CWCC,CAPITAL WIRE & CABLE CORP
10203,PSBN,PIONEER SAVINGS BANK INC NC
10203,PSBN,PIONEER BANCORP INC
10204,UNTL,UNITEL CORP
10205,LSBX,LAWRENCE SAVINGS BANK
10205,LSBX,LAWRENCE SAVINGS BANK
10205,TREX,INTREX FINANCIAL SERVICES INC
10205,LSBX,LAWRENCE SAVINGS BANK NEW
10205,LSBX,LAWRENCE SAVINGS BANK NEW
10205,LSBX,L S B CORP
10206,ESPC,EDUCATION SYSTEMS & PUB CORP
10207,FUND,AMERICAS ALL SEASON FUND INC
10207,FUND,ALL SEASONS GLOBAL FUND INC
10207,FUND,ALL SEASONS GLOBAL FUND INC
10207,FUND,ROYCE GLOBAL TRUST INC
10207,FUND,ROYCE FOCUS TRUST INC
10207,FUND,SPROTT FOCUS TRUST INC
10208,ISTC,INSTRUCTIVISION INC
10209,,AMERICAN AGRIC CHEM CO
10209,AHD,AMERICAN AGRIC CHEM CO
10210,FSBG,FIRST FEDERAL SVGS BK GA WINDER
10211,WCRP,WESTCORP
10211,WES,WESTCORP
10211,WES,WESTCORP INC
10211,WES,WESTCORP INC
10211,WES,WESTCORP INC
10212,IFRA,INFRASONICS INC
10212,IFRA,INFRASONICS INC
10213,ATVC,AMERICAN TRAVELLERS CORP
10213,ATVC,AMERICAN TRAVELLERS CORP
10214,SIGN,PLASTI LINE INC
10215,VVCO,UNITED STATES VIDEO VENDING CORP
10216,BURN,TRILLING RESOURCES LTD
10216,BURN,TRILLING MEDICAL TECHS INC
10216,,TRILLING MEDICAL TECHS INC
10216,BURN,TRILLING MEDICAL TECHS INC
10216,BURN,TRILLING MEDICAL TECHS INC
10216,BURN,WATER JEL TECHNOLOGIES INC
10216,BURN,WATER JEL TECHNOLOGIES INC
10216,XCED,WATER JEL TECHNOLOGIES INC
10216,XCED,X CEED INC
10216,XCED,XCEED INC
10216,XCED,XCEED INC
10216,XCED,WORLDWIDE XCEED GROUP INC
10216,XCED,WORLDWIDE XCEED GROUP INC
10217,,AMERICAN BANK NOTE CO
10217,ABN,AMERICAN BANK NOTE CO
10217,ABN,AMERICAN BANK NOTE CO
10218,AFPC,AUTOMATIC FILM PROCESS
10218,AFPC,A F P IMAGING CORP
10219,TLSS,TELESIS SYSTEMS CORP
10220,BWC,BABCOCK & WILCOX CO NEW
10220,BWC,BABCOCK & WILCOX CO NEW
10220,BWXT,B W X TECHNOLOGIES INC
10220,BWXT,B W X TECHNOLOGIES INC
10221,IMSR,IMAGE MANAGEMENT SYSTEMS INC
10222,FTTR,FRETTER INC
10222,FTTRV,FRETTER INC
10222,FTTRV,FRETTER INC
10222,FTTR,FRETTER INC
